C. Demografía y Población
Migraciones
Cambios de domicilio
5.2.1. Cambios de domicilio entre Distritos
;;2018;2019
18. Villa de Vallecas;07. Chamberí;53;54
18. Villa de Vallecas;08. Fuencarral-El Pardo;114;106
18. Villa de Vallecas;09. Moncloa-Aravaca;35;28
18. Villa de Vallecas;10. Latina;136;121
18. Villa de Vallecas;11. Carabanchel;176;248
18. Villa de Vallecas;12. Usera;118;134
18. Villa de Vallecas;13. Puente de Vallecas;770;815
18. Villa de Vallecas;14. Moratalaz;115;126
18. Villa de Vallecas;15. Ciudad Lineal;126;142
18. Villa de Vallecas;16. Hortaleza;125;121
18. Villa de Vallecas;17. Villaverde;193;206
18. Villa de Vallecas;18. Villa de Vallecas;3.228;3.843
18. Villa de Vallecas;19. Vicálvaro;127;139
18. Villa de Vallecas;20. San Blas-Canillejas;117;151
18. Villa de Vallecas;21. Barajas;47;28
19. Vicálvaro;Ciudad de Madrid;3.168;3.430
19. Vicálvaro;01. Centro;65;61
19. Vicálvaro;02. Arganzuela;33;50
19. Vicálvaro;03. Retiro;39;48
19. Vicálvaro;04. Salamanca;31;31
19. Vicálvaro;05. Chamartín;37;28
19. Vicálvaro;06. Tetuán;42;56
19. Vicálvaro;07. Chamberí;17;20
19. Vicálvaro;08. Fuencarral-El Pardo;48;53
19. Vicálvaro;09. Moncloa-Aravaca;12;20
19. Vicálvaro;10. Latina;65;66
19. Vicálvaro;11. Carabanchel;65;117
19. Vicálvaro;12. Usera;44;80
19. Vicálvaro;13. Puente de Vallecas;167;197
19. Vicálvaro;14. Moratalaz;161;156
19. Vicálvaro;15. Ciudad Lineal;80;122
19. Vicálvaro;16. Hortaleza;69;99
19. Vicálvaro;17. Villaverde;82;71
19. Vicálvaro;18. Villa de Vallecas;134;183
19. Vicálvaro;19. Vicálvaro;1.820;1.807
19. Vicálvaro;20. San Blas-Canillejas;123;150
19. Vicálvaro;21. Barajas;34;15
20. San Blas-Canillejas;Ciudad de Madrid;5;9.345
